"value","group","id"
1.07692800607478,"training",1
0.808354524535727,"training",2
0.953104247105012,"training",3
0.791606618575004,"training",4
0.957926155780249,"training",5
1.03855654003665,"training",6
1.00038044704166,"training",7
1.06546394110388,"training",8
0.714468983440532,"training",9
0.976598442587814,"training",10
1.1572794046081,"training",11
1.11258533657316,"training",12
0.839233470750741,"training",13
1.17505044920742,"training",14
0.987780080820239,"training",15
0.576758533353351,"training",16
0.986995883136433,"training",17
1.19898143173965,"training",18
1.37709616101102,"training",19
0.844741484477131,"training",20
1.01662415433843,"training",21
1.29943716984264,"training",22
0.7074129667688,"training",23
0.983028467573244,"training",24
1.17260974918732,"training",25
1.13432295538038,"training",26
0.733772134616658,"training",27
1.06353463335726,"training",28
0.729617913068122,"training",29
0.410731781193147,"training",30
1.12647323500092,"training",31
1.07953499537062,"training",32
0.911581002205732,"training",33
1.37415086807669,"training",34
1.33469649932671,"training",35
0.747322002692728,"training",36
0.853179986463553,"training",37
0.577958491560499,"training",38
0.879349466928111,"training",39
1.10859273891121,"training",40
0.810720198173799,"training",41
0.913667667974723,"training",42
0.448831523949162,"training",43
1.21537089593209,"training",44
0.732169201850944,"training",45
1.12433663861672,"training",46
1.03809396055187,"training",47
1.13231527319145,"training",48
1.06035358293956,"training",49
0.622532652616945,"training",50
1.09147877182413,"training",51
0.920637504756338,"training",52
0.904592607031348,"training",53
0.957738632291562,"training",54
1.17311813400111,"training",55
1.32350591679829,"training",56
0.93750100370076,"training",57
0.802644494554357,"training",58
0.618869730479837,"training",59
1.10835818951016,"training",60
0.475522632636674,"training",61
1.06026729674228,"training",62
0.723378593606601,"training",63
0.825164370986987,"training",64
0.825564952291022,"training",65
1.10830766858498,"training",66
1.16705664940635,"training",67
0.795157944886643,"training",68
1.41744412251294,"training",69
1.21169814300583,"training",70
1.12222084319999,"training",71
1.0900371098218,"training",72
1.05255106213988,"training",73
0.544441942640967,"training",74
1.02402583389759,"training",75
1.22708799519391,"training",76
1.09207168008012,"training",77
0.961908845371418,"training",78
0.961922783778737,"training",79
0.784336590780541,"training",80
1.24108294181634,"training",81
1.2021693556448,"training",82
0.976790777122518,"training",83
0.868706994903653,"training",84
0.724642188585958,"training",85
0.737517251814938,"training",86
1.02018478204022,"training",87
0.950434523873684,"training",88
1.27061246938246,"training",89
1.10622047922794,"training",90
1.68267948748407,"training",91
0.60529736159904,"training",92
0.798821871692885,"training",93
0.832470695377095,"training",94
0.695306895743999,"training",95
0.828208218677778,"training",96
1.24193350074794,"training",97
1.20636002053897,"training",98
1.15419506144482,"training",99
1.15561343295651,"training",100
0.28464992567522,"non_training",101
0.597560801983935,"non_training",102
0.385076188911407,"non_training",103
0.625068048865429,"non_training",104
0.660655950902568,"non_training",105
0.637554551716219,"non_training",106
0.833982551051518,"non_training",107
0.711193882681285,"non_training",108
0.850476594238468,"non_training",109
0.697050297460837,"non_training",110
1.16352877723969,"non_training",111
0.639946381599156,"non_training",112
0.467642942453524,"non_training",113
0.311800135092818,"non_training",114
0.937692410822002,"non_training",115
0.740768245283317,"non_training",116
0.627006364514126,"non_training",117
0.56102681033254,"non_training",118
0.428068907061564,"non_training",119
0.355806152816236,"non_training",120
0.525585902300379,"non_training",121
0.442987714639809,"non_training",122
0.55351754659083,"non_training",123
0.86783075477507,"non_training",124
0.801563779752729,"non_training",125
0.859106726049552,"non_training",126
0.460543531516373,"non_training",127
0.173182286157294,"non_training",128
0.549493073548336,"non_training",129
0.465032275664605,"non_training",130
0.439609333905832,"non_training",131
0.467972606043926,"non_training",132
0.643422858495044,"non_training",133
0.309673174365497,"non_training",134
0.488719053378117,"non_training",135
0.454482524617991,"non_training",136
0.658702247313127,"non_training",137
0.726802608927328,"non_training",138
0.886957325398516,"non_training",139
0.909852763983488,"non_training",140
0.333233432858114,"non_training",141
0.618602128350891,"non_training",142
0.5415446432376,"non_training",143
0.378551385383358,"non_training",144
0.817320497643627,"non_training",145
0.206342881635927,"non_training",146
0.459816281986028,"non_training",147
0.711704738703967,"non_training",148
0.46498544142059,"non_training",149
0.314110882531054,"non_training",150
0.745942089606093,"non_training",151
0.84320076749564,"non_training",152
0.391070173687931,"non_training",153
0.43880887115858,"non_training",154
0.545753349796419,"non_training",155
0.245505633583646,"non_training",156
0.465123317688794,"non_training",157
0.32870765452737,"non_training",158
0.845661534841059,"non_training",159
0.655206429604246,"non_training",160
0.483825181832262,"non_training",161
0.964433920721496,"non_training",162
0.465390540918167,"non_training",163
1.03549082071694,"non_training",164
0.945877127881614,"non_training",165
0.332291428802365,"non_training",166
0.941060876996479,"non_training",167
0.753896475921831,"non_training",168
0.576098506636871,"non_training",169
0.446038588718022,"non_training",170
0.663910596414913,"non_training",171
0.54704798710279,"non_training",172
0.42659693027264,"non_training",173
0.808894806208568,"non_training",174
0.644261589435816,"non_training",175
0.706937257801884,"non_training",176
0.693791883071273,"non_training",177
0.765969729822556,"non_training",178
0.696420933360253,"non_training",179
0.982856845072619,"non_training",180
0.386828508964348,"non_training",181
0.474027455671735,"non_training",182
0.797983330686431,"non_training",183
0.992629919809174,"non_training",184
0.68475206669277,"non_training",185
0.295618840458986,"non_training",186
0.627672039581256,"non_training",187
0.776316688248912,"non_training",188
0.69021434972075,"non_training",189
0.71711507971699,"non_training",190
0.847350782204489,"non_training",191
0.364169994895674,"non_training",192
0.960206754214425,"non_training",193
0.514713077149585,"non_training",194
0.784853959797922,"non_training",195
0.467423348252016,"non_training",196
0.60023157675645,"non_training",197
0.814887307678309,"non_training",198
0.292383920460503,"non_training",199
0.597991586726951,"non_training",200
